sx sy gx gy d
21.6987 1.62746 -3.09494 1.29222 81.9
-8.37117 12.5252 18.2612 8.03 28.2
-11.4548 0.884523 7.35944 -12.2621 59.28
3.5324 13.5355 8.93034 -11.1076 42.54
20.9521 2.53647 -18.0117 -11.0602 81.72
-0.903987 -11.9847 11.3138 -3.951 74.04
11.223 -4.27106 20.7823 7.03703 34.68
6.60986 -10.5317 3.46167 3.46899 79.44
-2.85397 -4.29072 -1.5353 12.3982 96.78
-0.985615 -4.82942 -2.56898 11.9095 96.96
-20.6761 -7.26538 -3.22495 -13.2775 41.82
21.7601 -0.770119 11.0857 -11.4005 14.88
19.9367 8.54388 21.5755 8.69115 1.2
-13.8234 -6.8645 -19.8625 -8.65632 21.72
21.9954 -1.34698 -18.9203 -5.70736 87.96
7.62245 9.22794 17.9253 -11.1711 62.82
5.06658 12.5365 1.94746 -13.5615 57.72
-16.299 13.5183 21.6815 1.57759 69.18
21.4988 10.5307 2.24547 -5.77688 115.5
-12.3746 2.31819 -12.3188 -5.81354 7.74
19.4875 -5.95323 -4.6658 13.5531 238.08
1.15483 -11.1689 -13.3061 -7.26187 15.24
4.42785 4.61689 9.72447 12.0473 55.44
15.1559 11.1309 -19.294 -6.28474 201.42
-20.118 -1.20472 10.2098 3.82668 91.62
14.1088 -1.25791 -19.9944 -8.67382 55.26
6.61563 -13.2692 5.08737 12.7548 140.52
15.8927 -12.6703 20.6333 -1.03231 12.12
-21.7044 10.6994 -15.4478 4.02406 56.94
-12.7214 -1.47042 9.0685 -13.7019 68.4
21.1462 10.2682 10.3893 11.784 10.44
19.4841 -9.05382 -12.4711 8.79151 140.04
20.5826 9.40916 19.7828 -2.3413 11.34
-21.687 -8.89144 2.64031 3.25375 47.76
21.5932 2.7789 21.4537 -11.7349 14.1
18.3435 -8.67542 17.0189 12.0341 54.3
20.5212 -7.19302 -0.595205 -11.7885 22.26
13.1697 13.7653 0.736496 -13.6349 104.46
-0.642255 2.36797 6.54313 13.4119 48.3
-1.41918 1.61731 -7.90946 -13.8491 61.44
6.72348 12.3769 -20.4391 -12.2662 156.48
-11.8619 -2.07731 21.2369 -3.55231 159.36
-21.7896 0.617241 3.7104 -12.777 93.24
11.619 -12.9515 21.4682 -4.08556 12.84
-6.92157 -13.1649 -20.9855 1.44504 43.08
-20.7338 -9.99518 19.234 -10.7849 179.46
2.00008 -13.3924 -21.8333 -6.63144 38.22
11.7453 -2.02602 -21.3307 12.5166 158.76
-6.04153 -4.84831 -10.2971 7.33144 94.68
-8.34348 -13.2775 -1.7566 0.283406 42.9
-3.32785 -3.24641 2.92999 -13.123 43.2
2.09354 2.94687 15.1481 -10.0189 137.4
19.7964 -0.249029 12.4265 0.834626 31.5
-5.28583 -3.774 19.8073 4.5132 110.4
-21.4861 -5.36494 17.9219 8.43588 117
-18.9831 13.3873 14.3483 -3.03574 70.5
-16.4821 5.04438 -21.3665 -4.96298 10.74
8.68244 13.1622 6.61013 10.2152 3.18
5.3846 12.7775 21.4207 -1.10621 23.52
0.309175 -6.75074 13.448 -13.2961 39.06
11.7546 -1.71656 -12.6377 -6.0444 30.96
-15.9265 -13.0621 -20.861 -6.53384 7.74
21.6805 -5.01641 20.368 11.6073 16.26
10.7651 4.66828 19.8649 -11.2921 55.08
4.05831 -13.4515 10.2433 13.0068 154.68
21.5628 -4.35869 -5.82201 -5.94496 73.38
19.3611 11.071 13.1277 -1.84577 47.7
5.50325 -12.2211 -5.48688 -6.51849 42.72
-5.51071 -1.80133 -17.2231 -13.3584 80.34
-5.21007 12.9043 2.35287 -3.71533 43.68
17.4134 -10.6627 -20.6298 -11.4382 38.94
-1.56751 -6.11052 -3.40718 -13.252 44.82
19.5866 -11.4837 1.69862 -13.87 17.64
16.6599 -11.9535 -20.4248 0.8163 73.62
6.61059 -10.9317 -5.73353 -5.06806 42.24
-18.5273 -1.31454 -18.7512 -7.7055 6
20.3702 2.47128 8.05813 11.4425 50.4
21.6896 -11.8476 -20.9474 -9.86593 45.42
14.5721 -11.5201 -16.7799 4.12549 82.68
-17.904 1.37281 -1.13089 12.922 68.04
20.1872 -6.45978 12.7381 -11.3877 8.52
18.0335 -6.13451 -19.9725 -5.83692 69.6
20.0617 -8.58742 21.9685 -11.7164 3.24
-0.812986 12.4917 13.2194 4.04957 17.34
-5.13856 -3.19922 7.66902 10.5128 58.2
19.7459 -2.21889 12.5704 4.61474 32.94
13.3047 -11.7904 1.56046 3.32107 91.26
-18.8956 -5.05642 -21.311 9.91614 15
-4.63833 -3.26644 -0.24404 13.5976 96.96
14.0914 -3.38832 -0.412979 0.623469 46.74
3.60173 10.9712 -3.94883 -5.40186 32.28
12.0288 2.88348 20.2404 4.15935 28.02
15.0668 -10.8516 -17.9724 13.6344 149.94
-21.4251 -4.02525 -18.493 -11.5146 7.62
16.1805 12.764 12.9049 -1.42538 38.22
11.3435 -12.2039 -6.7659 12.7217 173.1
0.583937 2.38723 19.9704 11.0812 75.78
17.3474 -10.0798 -13.2852 -6.65315 33.06
-21.2537 -9.90949 2.61337 3.52901 50.1
-0.157632 2.05209 8.83385 -12.4658 106.38
-4.33833 13.4894 13.2804 -2.68564 34.62
2.47159 13.7982 19.5205 1.11189 23.94
16.7857 13.3088 -16.2591 -12.8153 154.2
9.02869 -10.8441 -0.426384 -12.4725 9.18
19.7293 -13.2553 -17.2788 -11.6984 37.08
20.6359 10.8369 -13.0143 -7.03362 138.72
14.5593 2.73333 -19.8727 -13.0151 50.88
-18.3456 -8.73256 18.2765 -11.638 116.52
13.469 5.40989 -18.9842 -2.46397 148.38
-6.47673 -11.4802 -13.7209 -13.5981 7.14
5.47624 12.9828 18.4074 10.0518 12.84
18.6627 -13.9839 20.6253 -8.09634 5.76
6.48404 13.525 14.7728 13.8267 7.86
11.2477 10.8103 -21.4407 0.0304329 101.16
12.8442 -2.45285 -17.0779 3.16669 84.72
16.5165 -8.26258 21.6744 1.25648 10.38
-0.868478 -6.12608 18.8118 -4.13862 69.3
17.0918 -13.1627 -1.20122 -11.3489 17.94
6.68003 -11.0494 14.965 -10.8581 7.86
11.0925 -11.7446 -18.8168 -2.79057 57.36
-16.7644 -12.1282 11.3418 -6.03972 102.3
-15.1573 -13.5002 15.6387 11.2907 150.24
5.77173 13.4415 -21.4257 2.64746 101.46
11.7926 10.8038 -20.6024 -13.8979 188.64
-13.2205 -1.53808 0.874624 -12.2426 70.32
12.9891 -2.70508 8.94753 10.1082 13.5
-8.6778 -13.8623 -12.6302 0.747947 14.7
17.633 9.99658 19.1044 -6.7463 16.5
8.53846 -8.07091 -6.79766 -2.11615 40.68
-19.178 -0.865347 18.5975 9.0583 73.44
-21.7553 11.2398 -20.3668 -11.3363 22.2
19.553 5.71321 16.8281 -13.6836 19.2
10.6969 10.423 -21.8107 1.43557 108.66
-9.228 12.989 17.9457 13.6774 26.76
-21.6092 -8.25322 -20.011 -7.07837 1.56
-9.63657 13.8979 -21.9798 -9.11987 157.02
-10.2405 2.17402 -11.6247 -3.0575 4.98
-6.15983 -12.7275 18.9396 9.96255 81.24
-20.9684 -10.2362 13.2515 11.3074 104.82
-4.57563 -13.6566 -12.2736 -0.943389 15.48
20.3413 -12.2328 -19.8901 -0.904974 73.62
-2.39175 11.6185 21.3667 10.6996 24
13.3314 3.61656 21.8201 7.59189 25.62
-21.602 -10.9597 -5.63329 -2.29838 54
-21.9009 -11.3982 -12.6102 -2.55636 29.22
-21.9793 7.59844 -20.8302 -5.87499 13.08
-21.6138 -3.43805 2.34263 3.04775 34.14
-3.47761 12.4284 2.9575 -12.4199 80.04
15.9888 12.7279 3.54163 11.9869 12.06
-7.24642 12.065 -7.56327 -13.9188 154.98
7.44732 10.4645 7.55344 -10.221 34.56
21.6535 4.76824 -6.35224 6.57647 111
-18.0861 0.373953 9.44445 -11.2708 75.6
7.88832 10.5494 20.9194 1.2335 17.64
-19.1656 -7.40579 17.1665 13.8115 93.3
21.7228 8.17474 -11.9174 -5.7163 132.48
-21.6577 -6.47137 18.0948 12.945 89.58
-19.6556 -11.8823 -21.8679 0.929689 12.6
1.18669 -11.2485 -20.5685 -5.55693 39.72
12.0811 4.24588 9.10069 -9.69237 13.86
21.7499 -9.89346 13.1788 2.63598 32.64
-0.161358 1.56863 1.83444 -4.83379 77.34
-16.6237 3.63237 -19.0438 -9.91881 46.98
-4.20349 13.1693 4.78605 -11.5682 76.2
-13.9154 -4.59123 12.9395 2.51149 101.52
-20.5491 -0.207015 4.44413 -12.0346 88.26
-7.52816 2.23073 -21.7695 -10.616 37.5
14.187 2.12432 -13.4294 -7.90808 36.06
-21.8186 -12.7173 -7.64054 -13.8646 13.8
7.46536 11.8803 14.2209 12.0637 6.36
8.47885 -7.95525 -10.4984 13.6334 158.1
-15.5114 13.7685 -20.4629 -3.5377 56.34
-16.9678 13.4099 -20.6662 0.508691 55.2
-20.6062 -8.77158 -21.297 -4.15313 4.26
-20.0612 -13.5732 19.996 -7.83842 121.44
18.531 -11.2624 11.0892 -12.1239 7.08
-4.42808 12.6038 19.1904 -8.22549 83.22
-2.83908 2.1096 -10.3196 13.6695 74.4
-20.4318 -9.88493 15.3032 12.3181 110.4
1.99277 -3.84143 1.66566 2.18858 12.42
-13.3343 -5.9272 20.1014 -13.1617 81.84
14.6471 -11.5029 -13.7276 -3.91071 32.46
9.44383 3.23998 21.3212 -0.418195 38.16
12.0536 -3.56871 14.172 4.4492 7.86
-5.59051 -3.59578 -8.8039 1.9189 74.46
20.5985 11.6967 20.4281 6.15221 5.1
14.4606 -1.64645 -1.6688 13.2778 221.7
12.6028 1.26054 14.3721 0.489435 1.5
-12.9478 -8.34321 0.243752 -13.7458 13.86
-6.70798 -3.7907 6.98826 -13.9184 47.58
-13.4074 -6.29192 14.3668 -10.3116 124.08
-9.83728 1.57601 1.82688 -12.4762 59.76
-19.4339 -7.28622 12.0685 -0.919058 149.76
20.2693 3.34661 4.22484 10.5452 50.76
12.2613 -3.42804 11.4079 -6.35635 2.64
-17.9574 13.7038 21.8466 -13.9911 152.16
3.63705 9.39944 14.4618 -12.05 79.92
-10.8125 -0.684541 17.7618 -9.26828 101.22
12.525 -13.4987 -2.86392 6.657 120.96
-20.0548 -11.0371 15.5953 10.6686 131.64
-18.3346 -12.6853 -20.9239 -1.10823 11.46
20.3571 -12.6014 20.6902 -3.515 8.7
-18.3564 -9.29965 -1.22925 0.740451 55.02
8.82928 3.37874 19.1105 -5.62638 48.36
8.66846 3.26644 4.40602 -4.6877 8.58
20.4095 -11.903 21.4287 -0.92762 10.62
17.0657 -12.7123 -6.51852 -2.30438 50.1
-13.26 -7.01568 18.3763 -7.19296 113.46
-3.93362 -1.38418 13.7718 1.29137 81.3
2.76105 -13.7379 -18.644 0.331861 55.02
-19.2581 -11.077 -16.7234 5.40045 16.26
-3.67383 -6.27738 -18.0532 -10.8035 76.92
14.2708 1.39454 7.98134 12.6084 13.92
16.205 -13.8588 -12.2649 13.5664 166.02
9.86176 -10.5371 12.2848 0.642578 11.04
13.7202 0.972797 14.8659 2.12622 1.2
-20.1458 -7.77132 -5.35947 -5.06949 52.98
9.19177 -10.5751 9.34997 -11.1529 0.18
-8.65684 2.35109 -0.210096 13.5913 78.96
6.91105 10.8623 14.4948 11.8853 7.26
9.99001 13.5316 20.1012 -11.2971 29.82
-7.50284 -12.0068 20.3065 10.2595 80.16
-4.8506 11.9546 20.7469 -2.27232 64.56
-6.1681 12.4627 -9.57575 13.7538 3.24
-21.3736 -6.85482 20.6651 -11.7389 168.9
12.9476 5.37548 3.97102 13.526 12.48
12.8753 -1.70155 11.4305 -13.2925 59.82
18.2427 11.7318 11.0674 -11.6939 26.88
-2.21321 -12.2235 -19.1069 -6.26144 33.24
-18.6507 -1.69799 4.31407 9.66145 46.44
13.8315 2.54665 -12.1485 -1.94513 40.98
-17.4945 -11.9994 21.1785 -13.4809 70.5
19.672 -7.71679 1.34272 0.99003 107.22
13.7997 5.17697 11.0797 13.5297 14.22
4.89157 -13.6934 7.94771 -12.4357 2.88
3.4778 -4.48586 16.4537 -13.528 86.7
19.1627 -8.58144 -15.7263 -13.4035 35.34
-4.51273 -4.43829 13.8763 -12.3594 43.14
-1.47117 -6.36645 19.2295 9.70769 38.04
-5.2194 11.9933 13.149 -13.3895 122.58
-0.554666 12.5426 1.86652 13.0178 2.04
12.9884 -3.23157 8.10998 -8.09725 6.48
7.99307 12.0867 19.0428 -11.595 31.74
-21.5981 8.05079 -6.42369 -4.36654 83.28
16.3128 13.1113 17.1839 12.6782 0.54
19.694 7.28461 21.6616 -6.73738 13.74
-12.1513 1.03453 -21.4041 -6.27786 36.66
8.79831 -10.9551 13.2106 10.9399 95.46
7.86685 -8.71949 -4.92951 12.6344 171
20.8114 -10.4595 9.89026 -10.3499 10.56
12.8666 1.32742 11.0285 -12.4436 63.66
-9.64109 1.84279 -3.86913 11.6746 71.4
1.99223 3.61498 -21.9119 -1.24791 54.24
21.273 -12.7708 13.9431 2.03103 32.34
-6.60279 -13.2747 -5.98381 -13.1159 0.24
13.4861 12.5976 -2.74626 -3.99173 77.46
0.825828 0.985451 21.1714 3.62183 99.66
-5.12944 12.1304 0.650499 -13.5853 93.48
16.3016 -9.00196 -11.3104 -2.1877 38.4
19.8411 8.14709 2.15683 -11.1805 59.64
18.3743 -7.82475 20.4158 6.76043 14.34
16.9432 -12.0932 -11.0082 -7.98736 28.74
14.767 0.806196 20.8211 -4.5084 37.8
-18.2557 -10.7542 20.4525 8.23109 160.14
20.9118 -5.78275 -4.48616 -11.9334 28.56
-6.6774 -5.73763 20.6551 4.98898 119.7
3.3415 11.0998 -1.76405 12.0717 64.44
21.9235 -7.23092 -11.1502 2.33468 61.2
-8.50215 6.8084 -8.34636 2.34495 63.12
5.34643 -13.1859 -11.6026 -6.3679 19.08
9.31884 -10.8408 6.31583 -10.7861 2.58
19.0743 11.8962 -21.8243 12.4035 63.96
-0.340166 -5.55914 -20.4434 -1.71815 105.9
-2.72561 -6.28943 3.92582 13.4768 57
-12.5751 -6.10429 -4.37064 -4.78463 25.98
11.3916 3.86663 9.78826 -7.51958 11.28
-1.49071 12.743 -20.6622 -10.6742 119.88
-21.8156 -8.03452 8.68614 -10.7487 107.88
9.63232 -9.85371 -3.33251 -13.6961 13.08
20.4072 8.59932 19.9183 4.52455 3.66
10.6401 -11.2468 21.766 12.0954 45.48
19.5538 -9.13828 -20.2759 -9.25978 52.56
-5.57488 13.6407 20.5901 -4.26332 69.6
8.41298 10.1715 6.6968 -9.31604 35.46
12.6731 11.849 17.2739 12.8537 4.32
20.6405 12.5973 0.664972 -6.23097 120.54
-21.8591 11.5687 -12.3075 -0.477821 63.66
19.3147 -5.2186 -21.868 -5.61452 76.86
14.4607 1.70805 10.9299 -13.8682 63.42
-11.4402 7.96476 15.8456 10.6997 71.64
-3.49264 11.9017 -21.6904 0.221402 107.82
-21.0424 -13.6009 -14.9491 -13.5457 5.7
21.8074 13.7893 19.6302 -3.41596 16.92
-2.55123 -5.85044 21.8105 3.7784 53.64
-18.4968 -4.55108 -18.3618 -0.639715 3.48
17.6189 10.181 -2.6695 -5.7435 66.96
-8.88266 1.43895 -19.7077 -2.84405 38.64
0.72324 -3.99111 4.08496 -12.4722 36.48
14.5362 -10.8179 -19.903 -4.38539 57.84
21.9457 -7.99912 12.4834 5.33887 36.3
-12.9885 -4.46841 19.9522 4.58699 127.5
-2.95354 -5.48463 -8.01159 6.76113 104.4
-11.8726 -8.51594 13.6452 10.8355 101.58
19.402 13.2488 2.42225 13.8216 16.56
-20.8814 -12.2808 -21.6837 13.8788 25.74
-12.2328 9.08128 14.3484 -12.3201 120
-2.5081 13.6463 20.8906 2.12027 29.52
4.06601 9.90594 21.3243 13.2781 17.16
-2.63036 -2.99228 4.67624 -13.1944 41.7
-5.48574 -3.57537 19.8252 -11.5172 94.44
16.3008 -9.85433 8.84448 -10.4796 7.14
7.83812 -8.90582 14.6941 2.63459 13.02
-3.17581 -6.13416 6.82663 -1.30639 10.68
-13.6629 -3.00414 -5.16297 -2.32295 20.34
-19.322 -2.08505 -18.1777 -12.994 10.56
-3.10466 -6.58613 9.77588 -11.3994 39.54
-8.00402 12.2378 -8.88184 13.2457 0.9
8.7768 -7.88544 -16.9021 4.9466 38.88
13.8329 -11.8685 -21.9167 -10.8828 36.84
18.9103 -12.2267 -16.5838 5.40085 52.92
8.68185 10.017 -20.6393 -5.27486 87.24
-8.17668 -12 3.0411 12.2343 146.46
-11.5453 -1.20601 14.3358 -13.8548 65.88
-3.18455 0.833361 -6.01696 12.1678 80.46
2.28594 3.46354 -20.1324 -3.78772 116.64
7.13029 13.2054 20.7392 11.2336 13.32
-10.9733 -7.84069 -11.7605 -1.50648 5.94
3.93293 13.342 -6.98701 -4.72345 64.2
-11.4057 -1.61438 13.3857 5.489 81.42
-21.6284 8.25172 4.11657 3.93998 109.86
3.43297 3.09005 2.19923 -13.1031 108.36
10.1319 12.6232 16.7547 12.1079 6.24
-5.07066 -12.2598 -13.5034 -5.25758 10.74
19.4687 -12.2861 19.8187 -10.4072 1.5
12.0684 10.7287 12.5933 -0.366644 40.2
-21.8615 3.61086 -19.7654 -6.02493 9.42
11.1907 3.15726 5.26242 -1.85746 82.5
-7.64443 -13.5678 -3.78497 11.7804 99.06
12.1341 5.71674 -2.83776 -5.04014 18.48
10.7611 12.3206 14.011 -0.285642 43.5
18.17 -11.8671 -18.6258 -5.11229 58.68
-8.78469 -11.8692 -15.7271 -13.716 6.84
6.78865 -0.864407 -6.71551 13.006 116.04
-12.4709 -1.49035 10.7026 4.55694 79.26
15.3138 -9.94585 -8.67991 6.95859 121.2
21.2903 9.65329 19.8599 0.830844 8.52
5.18865 -3.73865 6.0053 13.8284 77.28
-21.5202 -1.00838 -3.07167 11.7214 69.48
14.0611 -11.786 -0.233881 12.9777 210.18
-0.726845 -6.71426 20.5509 2.96788 53.94
20.4171 4.78898 18.8713 -4.031 8.52
10.187 4.04309 20.163 -12.7129 57.66
-4.50484 11.2954 -12.9385 8.84874 29.46
21.9174 5.07955 -19.0817 -0.232829 195
-3.26424 -4.5783 18.4481 -9.90023 87.6
15.6048 -12.2902 -18.2984 -9.62582 37.26
21.7222 -5.78565 15.1903 13.0329 65.22
3.14303 -5.72844 -8.31861 -12.2411 48.78
13.5749 11.9491 21.9519 7.10503 9.24
20.8956 -13.5248 11.7568 -6.22822 17.1
-13.0714 -5.25852 20.2492 -2.60753 93.42
-19.2338 -5.38136 20.038 -7.98149 137.28
-1.23652 -5.93666 -4.34239 13.074 93.72
1.86785 1.7546 -13.6865 -2.04116 81.42
-4.2605 -4.29378 -2.9667 12.7891 91.38
-3.25891 -3.12191 -16.5539 3.72298 119.22
19.807 -13.7213 15.6689 -13.7602 3.72
21.0731 -4.80362 9.90037 -11.8934 12.9
-19.7024 -10.4223 -19.7324 -10.0371 0
-21.7816 5.12904 20.7841 8.70564 102.48
8.43586 13.9785 -18.6183 0.548149 125.1
9.16102 -13.2382 20.4458 7.659 44.64
21.5218 -7.41567 -13.9669 -13.4652 36.72
3.36454 3.67512 1.39451 2.53834 1.86
13.5236 1.78401 19.8583 6.26971 25.8
-18.4369 -4.14154 14.2183 -13.4203 99.48
20.6692 4.15424 19.1079 8.39448 4.08
18.9646 7.60233 11.5853 10.6111 7.56
-5.80119 11.4071 -9.10818 -13.036 151.86
9.51042 12.6464 -19.1035 -1.43899 115.68
-1.87895 0.937522 18.6921 -10.8819 150.72
4.8497 9.84125 -13.3288 -13.7727 117.12
-11.4351 1.67802 -17.0904 4.41807 45.54
9.67345 -9.90705 15.6964 11.3293 31.62
17.0717 13.8605 -19.6952 -4.74007 169.92
2.18166 -4.18024 14.4991 1.08184 17.52
-18.3149 -8.10597 10.2424 -5.94452 88.08
-20.4248 -6.13137 11.7389 -12.2982 106.56
21.6472 -8.25546 18.7414 -8.48924 2.52
-21.4333 -9.21003 11.7572 11.7563 88.5
18.8443 -6.91733 12.9569 -5.03447 16.74
10.912 10.7993 17.8428 -9.51258 25.08
8.38898 -13.2814 -3.34347 -11.5444 11.46
20.3386 0.54442 4.04041 -4.92936 101.76
-0.90113 0.318869 -21.8286 1.61211 123.3
10.0768 4.53518 -21.9134 6.75462 64.68
18.7863 -5.55676 7.20484 11.1511 38.1
-21.3769 8.53878 8.58846 11.8722 33.3
-6.65103 -4.19403 19.8928 2.17012 122.46
8.87035 10.1721 14.9353 -13.5991 32.76
-12.9856 -3.21191 -2.65341 -6.72921 26.58
-19.2961 -0.656165 12.2472 -13.3464 87.48
9.45296 3.58452 -5.6414 11.927 131.64
-16.2047 -13.4547 -6.563 -6.3373 64.8
-0.695092 -6.44692 -3.63237 -13.6065 43.86
18.3163 -12.6034 6.35833 -1.92952 82.32
19.1962 -6.32568 20.1389 -9.05783 2.46
16.2599 -11.3699 9.81541 -10.2504 6.12
20.3108 -7.59613 11.7344 5.09403 33.12
7.74859 -11.7992 -20.1293 -9.71029 30.54
21.2646 0.706546 3.87745 10.9745 49.74
2.93701 8.98732 12.7902 1.91861 13.38
-8.65928 7.1872 14.0609 -2.54503 37.86
16.1508 -10.6047 12.1835 2.41698 22.68
-19.2427 -6.73634 15.2835 -11.6475 106.08
-20.2779 0.695935 -2.93559 -6.76934 41.46
-21.9256 -10.4975 12.3223 -3.11407 92.16
21.4941 -12.1816 -4.05121 -5.22822 59.94
-12.0356 1.05282 11.8474 13.8731 46.02
-18.1074 13.9152 12.0308 -3.23029 70.74
3.70616 9.80421 20.8051 6.04724 18.3
19.0533 8.92247 18.8182 13.9412 4.62
7.93594 -11.8162 -0.301957 12.8166 185.94
14.7916 -11.7347 -6.06985 6.61825 120.36
-0.964909 1.19003 -21.4081 -0.227947 120.84
-3.30094 2.08526 12.6793 -2.16995 85.32
-20.6613 -5.98519 -20.0697 -9.79239 3.42
-18.5259 0.565152 5.1126 11.926 87.06
-19.554 -5.15206 -15.1689 -13.0646 8.64
-21.2621 1.89497 -17.9257 1.11456 3
16.9516 -10.7821 8.38957 -7.68102 10.14
-21.3185 1.39633 -21.6258 -3.95219 4.92
18.3391 -11.4877 21.3379 -13.0232 2.94
9.34014 3.58798 -3.02985 11.8908 135
10.6152 11.1417 14.2893 -2.76602 40.08
11.3992 -11.8497 -16.7698 -11.5963 28.62
14.2829 -13.653 -12.1563 1.47555 37.8
-18.0826 -11.3943 18.8433 -4.32791 143.58
-20.2327 0.39247 -20.8553 0.369526 0.18
13.5806 0.492144 21.1925 -7.84052 44.88
13.7168 10.6375 -6.20651 12.4623 67.38
20.3555 -4.32448 -1.08875 2.17648 120.24
-16.7802 4.45397 19.8638 -2.77791 136.26
20.0199 -8.82144 21.3939 -2.89859 5.64
-11.8076 -3.04098 10.1626 -7.30344 54.42
0.920159 -6.30964 -21.319 -12.1327 77.94
16.7256 -13.616 -12.3134 -5.66019 31.8
-14.178 13.6459 -6.8848 -5.05388 123
-19.6522 -0.0792863 -2.23803 11.5409 70.44
14.2812 1.03518 -1.58964 2.07545 103.86
8.7396 12.7167 19.4873 -8.9363 28.14
-4.33687 6.75381 -21.4158 -10.8397 97.86
20.2225 -3.36186 -13.6101 13.6903 220.74
-16.7443 -12.2919 3.82568 11.9593 146.7
-8.39603 -13.833 -18.6119 -1.48195 19.26
0.261166 -4.69829 10.7729 -12.5037 35.82
0.526659 -13.3454 9.74903 -7.46829 10.5
11.6796 -2.51015 19.9636 -3.51093 41.94
5.23242 -4.00648 17.5208 -11.5318 77.16
6.45111 -0.877276 15.4198 13.5612 21.24
-2.34253 -13.6762 21.4035 13.5177 92.94
11.6244 -2.66441 12.8622 -1.52495 1.26
-21.8408 1.45953 -7.07046 13.3059 23.76
17.2905 11.655 11.3821 -11.9721 26.88
21.8598 3.88525 -21.6418 2.67101 133.92
-20.6864 -10.7698 16.8818 -11.5311 64.8
8.94326 -7.84337 12.8918 2.61257 10.74
9.00332 12.83 -12.5004 -3.80288 131.94
-21.9382 3.49568 21.056 12.0667 57.78
-21.5919 9.41464 4.14293 13.1364 27.24
7.48416 13.7743 -20.4651 -3.0319 117.6
-4.99024 12.0848 -19.976 -9.3308 126.42
0.576478 13.8438 -12.245 -8.36285 147.36
4.4435 -4.69165 -19.5054 -3.45708 106.98
5.28398 10.4861 -7.89134 -12.1264 80.1
12.7877 13.9733 -7.91696 -12.8554 78.48
21.4982 -11.2283 8.51538 10.2279 42.12
11.5421 10.658 13.7008 13.0234 2.76
-5.44848 -1.6451 19.7173 -5.2319 144.72
5.51299 13.0889 9.35447 -8.37835 32.22
-19.0464 -8.8482 21.2796 13.2273 123.36
-21.4157 -2.22588 5.0344 -11.1685 91.62
18.9852 -9.8972 2.85707 2.39958 108.48
-5.32266 13.5253 16.8391 12.8037 21.78
20.7327 -5.25013 -6.39039 13.421 241.02
-2.77369 13.9775 7.16816 -12.9624 68.64
-3.40779 -12.8001 21.4823 11.5305 90.54
-13.3857 13.6782 -0.486346 -12.9232 159.18
-1.14497 -11.5538 -7.44759 13.0214 98.94
17.4765 8.78032 1.02165 13.1159 16.62
7.3372 -10.5769 -17.5396 -11.1155 26.16
14.1601 -3.59732 9.40173 -12.5317 58.56
6.37778 13.4178 0.656258 0.923902 32.16
21.4324 -5.46502 -12.6286 -0.0282049 59.4
15.8873 -13.3396 -3.73064 -1.90696 47.28
-20 13.8369 -1.37235 -4.7156 130.32
14.4897 -11.137 14.0145 2.88867 20.58
-19.4239 -2.24158 -3.49807 -2.82882 38.34
-14.9068 -13.1379 -9.80531 13.6012 96.42
2.42411 -6.1963 -10.7231 1.09077 81.9
-2.71825 0.462481 5.37312 -10.782 113.34
3.29816 2.58123 -21.6715 5.31459 30.42
20.485 9.62145 20.2612 0.376746 8.82
